JobId Command Name Site CreationTime QueuingDuration DownloadStartTime DownloadDuration ComputeStartTime ComputeDuration UploadStartTime UploadDuration TotalDuration logFile
32921378 gate.sh cn204.uk UKI-LT2-QMUL 43726 30442 74168 40 74208 323 74531 11 374 gate.sh-3127655953064574
32921379 gate.sh cn212.uk UKI-LT2-QMUL 43726 30870 74596 58 74654 337 74991 14 409 gate.sh-3127660163309538
32921380 gate.sh cn212.uk UKI-LT2-QMUL 43726 30560 74286 51 74337 325 74662 14 390 gate.sh-3127657130396444
32921381 gate.sh cn223.uk UKI-LT2-QMUL 43726 30372 74098 70 74168 322 74490 11 403 gate.sh-3127657238356570
32921382 gate.sh cn206.uk UKI-LT2-QMUL 43726 30233 73959 53 74012 410 74422 14 477 gate.sh-3127661486182885
32921383 gate.sh cn213.uk UKI-LT2-QMUL 43726 30372 74098 34 74132 334 74466 11 379 gate.sh-3127655847906235
32921384 gate.sh cn206.uk UKI-LT2-QMUL 43726 30302 74028 92 74120 392 74512 11 495 gate.sh-3127659471668487
32921385 gate.sh wn084.hep.uk UKI-NORTHGRID-SHEF-HEP 43726 31256 74982 633 75615 316 75931 19 968 gate.sh-3127659376316985
32921386 gate.sh cn215.uk UKI-LT2-QMUL 43748 30562 74310 56 74366 329 74695 12 397 gate.sh-3127664021698762
32921387 gate.sh cn214.uk UKI-LT2-QMUL 43748 30588 74336 149 74485 455 74940 45 649 gate.sh-3127658445870680
32921388 gate.sh cn212.uk UKI-LT2-QMUL 43748 30374 74122 60 74182 330 74512 10 400 gate.sh-3127653893238278
32921389 gate.sh cn212.uk UKI-LT2-QMUL 43748 30374 74122 49 74171 337 74508 11 397 gate.sh-3127661675741947
32921390 gate.sh cn213.uk UKI-LT2-QMUL 43748 30893 74641 49 74690 327 75017 10 386 gate.sh-3127657846383421
32923147 merge.sh wn2206250.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 72552 80283 152835 43 152878 786 153664 14 843 merge.sh-3171415008333401
